"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"PF3D7_0104100",257.15762423166,-0.297749800742875,0.21132276676284,0.128853451013764,0.276377276633761
"PF3D7_0104200",935.215968357773,-1.46543403745066,0.181442779467846,9.35218832257107e-17,3.43537051049111e-15
"PF3D7_0104300",3574.44925845387,-1.54236072151484,0.172215687256804,4.35978603244977e-20,2.16201789349184e-18
"PF3D7_0104400",288.349986590473,-0.199445187244686,0.207485670375662,0.301931271134043,0.494316679526776
"PF3D7_0104500",56.3687489229904,1.33019397772788,0.371321285022542,4.96265488361323e-05,0.000414306491041044
"PF3D7_0104600",6.60706055560773,-0.127669411015516,0.506526603130628,0.632035417575183,0.779667571083416
"PF3D7_0104700",3.95235923991116,-0.0923763069501267,0.532353433563326,0.687967372484416,0.822079566301258
"PF3D7_0104800",209.063202350212,-1.08626250923064,0.252056621012595,3.42007859089721e-06,3.81985804780614e-05
"PF3D7_0105100",17.4047453983025,0.134639400132075,0.427431065013512,0.650584357321666,0.791911592527771
"PF3D7_0105200",161.095126960149,0.239808406083515,0.286193641442095,0.336983829141895,0.529253424237493
"PF3D7_0105300",462.241405838999,-0.740485646061291,0.196496351937583,6.44755637976904e-05,0.00052761439087912
"PF3D7_0105400",142.858166375167,-1.04432765071469,0.310231841837039,0.00015842162536842,0.00116559768575964
"PF3D7_0105500",15.9889578986261,-0.898588422602775,0.680881960134066,0.0305194508928579,0.0964871170573205
"PF3D7_0105600",114.349135635744,0.572445470566442,0.291507627831654,0.0246649357557368,0.0813871750207086
"PF3D7_0105700",1315.57779511493,0.218554396360235,0.178820583866422,0.199228459973881,0.374090849303475
"PF3D7_0105800",900.077217191025,-0.359526895207606,0.177919623352545,0.0330867054642309,0.102228643238082
"PF3D7_0105900",47.6126559965716,-0.163090660413985,0.349566522064886,0.560588661981395,0.725080640262321
"PF3D7_0106000",623.58699412965,-0.780650285080063,0.19664210959861,2.61021175389093e-05,0.000232806476394697
"PF3D7_0106100",150.546347108786,0.557549680345566,0.245953743473555,0.0125498903515315,0.0484318336601126
"PF3D7_0106200",23.5486936470801,-0.444790798001944,0.447151327304232,0.165421675031723,0.330111101200127
"PF3D7_0106300",2004.92140814126,-0.0220317377815975,0.17053040334964,0.890226164852714,0.945579821075481
"PF3D7_0106400",23.3973160823452,0.182757754531385,0.407559798424584,0.539320207213345,0.708286257301636
"PF3D7_0106500",136.31944913447,0.47076437454261,0.253892656995978,0.0395740785673239,0.11702316971697
"PF3D7_0106600",8.35284004886027,-0.0807167172313849,0.487009837629762,0.76513947943454,0.87105754786866
"PF3D7_0106700",699.536761445638,-0.10341060189349,0.187405814926338,0.558400307187574,0.723431843438315
"PF3D7_0106800",143.752203102141,0.598393007037969,0.280832797920178,0.0158821593772828,0.0588197373800938
"PF3D7_0106900",62.1275552990616,-0.0155304186133858,0.318865826167965,0.951766427739261,0.977279226651758
"PF3D7_0107000",443.930127017482,0.151512797199486,0.195060475420601,0.410294361751499,0.601685456397241
"PF3D7_0107100",19.9881707251453,0.2007958961587,0.418579486307178,0.504163059436349,0.678833725697762
"PF3D7_0107200",16.4069022496964,0.220283097920654,0.456495842750967,0.468310259913861,0.650154137433605
"PF3D7_0107300",8.11051014436384,0.0653987260515814,0.482504895902858,0.814436977292403,0.903331015520695
"PF3D7_0107400",32.247241265044,0.531240063440823,0.476960004175997,0.113519188787613,0.253007486381022
"PF3D7_0107500",1818.8407550688,-0.973839610908154,0.173539411431818,5.09969609401006e-09,8.93618124741904e-08
"PF3D7_0107600",8.19916357969749,-0.384283044606752,0.574241276360385,0.218025405618722,0.398962356628502
"PF3D7_0107700",2.93322163370263,-0.259433297693275,0.606875351942217,0.252003803430296,0.441273609184617
"PF3D7_0107800",182.339249295502,0.720102367669881,0.273737465502037,0.0033252291634315,0.0160406725889658
"PF3D7_0107900",17.9276443927051,0.344586504166316,0.473791366636064,0.274897493324166,0.466352385510967
"PF3D7_0108000",525.200642631594,0.210280570249778,0.194498418959571,0.249941679136574,0.439058018717064
"PF3D7_0108100",28.1452275247932,0.138853645273878,0.38421616989415,0.63587972161767,0.78265761715116
"PF3D7_0108300",3300.19740711445,-0.423725477628903,0.166949815631461,0.00781848537921881,0.0331100503804834
"PF3D7_0108400",22.2770280377101,1.06599730252965,0.553277385220528,0.00881305024933389,0.0362688101132338
"PF3D7_0108500",172.626329269509,-2.24313051306359,0.311249782055829,5.04448408106826e-14,1.45439514872195e-12
"PF3D7_0108600",259.278019306874,-1.07182913977431,0.270789198375339,1.56590895223188e-05,0.000148761350462028
"PF3D7_0108700",1210.60548510713,0.093850540464135,0.1757814612175,0.57650497119664,0.738730788672903
"PF3D7_0108800",73.1979639537325,0.756748612698093,0.323199091181889,0.0066300839371785,0.0290090972827264
"PF3D7_0109000",1204.22874971247,-2.16117210666824,0.180121697463367,3.16413955054167e-34,4.75483879731399e-32
