gene,SRR16966869,SRR16966870,SRR16966871,SRR16966872,SRR16966873,SRR16966874
PF3D7_1357700,20.73,75.73,19.163,25.56,89.754,74.831
PF3D7_1357800,222.701,363.201,193.799,366.736,557.915,623.151
PF3D7_1357900,21.637,15.814,7.211,33.469,49.716,45.185
PF3D7_1358000,131.672,224.588,83.039,157.591,249.875,203.062
PF3D7_1358100,211.832,375.533,93.261,302.583,565.622,500.125
PF3D7_1358200,74.287,174.465,35.12,66.611,214.789,146.239
PF3D7_1358300,5.011,11.825,2.261,1.0,3.971,3.992
PF3D7_1358400,37.583,73.545,29.439,9.442,38.097,33.789
PF3D7_1358500,27.051,38.772,12.957,18.023,32.647,25.752
PF3D7_1358600,236.284,260.41,116.246,241.409,435.035,215.991
PF3D7_1358700,127.482,175.309,80.881,112.039,222.466,177.685
PF3D7_1358800,222.996,281.409,224.224,564.727,866.717,806.098
PF3D7_1358900,34.598,70.789,36.941,99.791,150.842,145.331
PF3D7_1359000,31.233,69.126,11.316,22.786,40.593,70.551
PF3D7_1359100,37.44,67.519,11.136,26.796,27.694,44.768
PF3D7_1359200,54.386,134.933,48.942,170.382,139.375,184.982
PF3D7_1359300,91.506,188.852,52.59,105.782,136.408,220.745
PF3D7_1359400,542.668,641.703,412.778,952.236,1105.032,924.072
PF3D7_1359500,13.816,5.042,4.035,9.17,6.422,10.639
PF3D7_1359600,810.922,1405.392,579.162,1802.833,2458.02,2262.995
PF3D7_1359700,336.661,467.123,146.324,124.172,156.307,203.933
PF3D7_1359800,24.346,18.344,8.418,5.682,18.273,13.85
PF3D7_1359900,1158.336,1256.68,632.525,776.285,1343.734,1089.554
PF3D7_1360000,24.024,18.224,6.151,12.4,11.335,28.995
PF3D7_1360100,54.073,28.809,24.972,42.417,48.584,57.665
PF3D7_1360200,68.317,64.423,81.727,78.608,105.579,123.744
PF3D7_1360300,2.033,8.778,0.0,2.667,10.364,2.032
PF3D7_1360400,4.99,22.236,12.044,8.031,6.376,12.041
PF3D7_1360500,36.126,64.177,33.12,70.141,69.541,121.63
PF3D7_1360700,428.74,404.468,225.38,344.968,653.859,585.817
PF3D7_1360800,1512.471,1673.299,1465.264,1639.78,2150.069,1885.008
PF3D7_1360900,526.477,479.368,556.99,858.679,839.799,959.745
PF3D7_1361000,46.898,74.879,41.761,51.244,65.16,57.261
PF3D7_1361100,1539.952,1372.328,1389.165,901.163,1154.528,1264.833
PF3D7_1361200,526.658,716.984,479.26,465.179,488.99,792.055
PF3D7_1361300,4.007,3.697,1.019,0.0,0.0,2.0
PF3D7_1361400,55.248,116.914,35.853,12.642,8.676,27.667
PF3D7_1361500,864.595,1094.806,758.214,253.776,225.513,378.40299999999996
PF3D7_1361600,17.451,34.338,31.815,62.275,57.453,65.987
PF3D7_1361700,186.86,241.097,149.367,279.736,178.619,276.825
PF3D7_1361800,13587.035,13299.418,12829.03,6154.28,6590.833,7019.374
PF3D7_1361900,633.915,372.813,715.747,1157.775,1135.888,1217.772
PF3D7_1362000,63.921,35.696,94.605,48.4,55.859,37.082
PF3D7_1362100,15.477,9.546,25.651,21.2,13.964,21.794
PF3D7_1362200,118.676,75.736,131.428,134.225,171.123,247.492
PF3D7_1362300,19.689,3.086,17.538,10.72,13.848,22.821
PF3D7_1362400,535.148,512.751,758.214,712.161,811.652,737.549
PF3D7_1362500,20.045,41.751,43.021,28.279,73.384,51.489
PF3D7_1362600,31.133,43.564,62.205,20.757,49.887,47.765
PF3D7_1362700,499.558,470.561,799.682,790.745,787.645,783.42
PF3D7_1362800,194.676,331.714,395.626,205.981,226.533,250.596
PF3D7_1362900,83.946,141.495,40.317,149.739,126.481,79.405
PF3D7_1363000,5.062,9.26,5.899,10.03,5.133,11.849
PF3D7_1363100,50.649,133.448,38.776,199.467,103.971,180.511
PF3D7_1363200,9.346,12.311,7.232,36.77,27.957,47.337
PF3D7_1363300,3.055,20.533,5.231,51.363,12.804,57.854
PF3D7_1363400,47.413,140.862,53.472,157.056,85.878,269.355
PF3D7_1363500,39.06,79.851,27.106,114.521,78.894,175.541
PF3D7_1363600,9.117,2.325,1.102,26.777,10.905,19.817
PF3D7_1363700,49.138,125.932,50.393,239.069,119.394,265.322
PF3D7_1363800,8.681,7.136,0.0,14.591,6.196,22.413
PF3D7_1364000,136.539,117.314,80.62,109.836,115.232,191.202
PF3D7_1364100,860.753,1030.412,501.853,1048.658,1276.688,1512.526
PF3D7_1364200,259.56,476.346,257.864,344.016,389.345,485.775
PF3D7_1364300,128.593,207.128,130.98,147.609,87.321,204.282
PF3D7_1364400,296.977,365.788,159.087,498.327,364.521,483.697
PF3D7_1364500,13.809,26.166,14.104,60.076,43.42,50.368
PF3D7_1364600,94.995,206.259,131.635,285.6,315.463,282.64
PF3D7_1364700,1.002,4.637,4.009,2.0,1.017,3.306
PF3D7_1364800,17.655,53.21,49.2,160.645,109.774,153.966
PF3D7_1364900,7.096,16.75,6.921,22.625,19.684,16.245
PF3D7_1365000,34.357,70.721,53.789,81.764,103.275,107.192
PF3D7_1365100,7.787,10.832,8.254,16.85,22.872,32.298
PF3D7_1365200,4.682,11.464,0.0,26.108,13.465,25.002
PF3D7_1365300,22.64,32.464,20.902,26.249,41.412,57.05
PF3D7_1365400,3.228,13.101,10.557,11.529,29.787,20.972
PF3D7_1365500,43.969,73.543,79.798,63.187,138.728,202.967
PF3D7_1365600,157.873,172.181,134.277,27.647,77.702,79.817
PF3D7_1365700,303.976,322.588,349.362,154.774,317.925,186.913
PF3D7_1365800,147.218,212.921,140.496,75.803,94.166,118.048
PF3D7_1365900,721.819,1206.252,584.848,1024.303,1087.708,1149.363
PF3D7_1366000,11.388,20.919,8.32,17.535,7.456,21.526
PF3D7_1366100,102.965,180.468,81.088,56.966,24.285,70.038
